METRIC,composite,P2020,P2016,S2020,S2016,G2019,AG2019,MEAN,SEM,RSE,Δ,Δ/MEAN,Δ/SEM
Vf,0.390775,0.405356,0.398283,0.365809,0.369603,0.477699,0.337884,0.392439,0.019729,0.050273,-0.001664,-0.004240,-0.084343
Sf,0.166735,0.166869,0.166913,0.166677,0.166735,0.196702,0.166667,0.171760,0.004988,0.029041,-0.005025,-0.029256,-1.007418
EG,0.114815,0.143843,0.129653,0.064941,0.072471,0.258696,0.009101,0.113117,0.035215,0.311315,0.001698,0.015011,0.048218
PR,0.224040,0.238487,0.231370,0.199132,0.202868,0.280997,0.171217,0.220678,0.015597,0.070678,0.003362,0.015235,0.215554
GAMMA,0.332430,0.331103,0.331141,0.333143,0.332588,0.271644,0.333328,0.322158,0.010110,0.031382,0.010272,0.031885,1.016024
BS_50,0.237288,0.252336,0.234249,0.233908,0.185425,0.249361,0.218051,0.228888,0.010049,0.043904,0.008400,0.036699,0.835904
BV_50,0.040633,0.044535,0.043221,0.040107,0.035007,0.043214,0.033739,0.039970,0.001874,0.046885,0.000663,0.016587,0.353789
BS_V,-0.052671,-0.018004,-0.029000,-0.076994,-0.070924,0.223688,-0.082861,-0.009016,0.047797,-5.301353,-0.043655,4.841948,-0.913342
GS,0.091438,0.094595,0.092531,0.093064,0.082687,0.084668,0.089058,0.089434,0.001981,0.022150,0.002004,0.022408,1.011610
MM,0.057438,0.066573,0.064467,0.066617,0.044567,0.059121,0.049693,0.058506,0.003824,0.065361,-0.001068,-0.018255,-0.279289
LO,0.074207,0.100446,0.094730,0.029169,0.024450,0.176570,-0.029560,0.065967,0.029694,0.450134,0.008240,0.124911,0.277497
DECL,48.537871,50.796453,50.017484,44.219153,44.049761,57.326955,38.536507,47.491052,2.688154,0.056603,1.046819,0.022042,0.389419
R,3.051182,3.519836,3.274647,2.483941,2.555775,13.600195,2.056141,4.581756,1.817073,0.396589,-1.530574,-0.334058,-0.842329
r,0.007647,0.021434,0.019137,0.001338,0.005198,1.419385,0.000030,0.244420,0.235022,0.961550,-0.236773,-0.968714,-1.007450
Sb,0.166735,0.166869,0.166913,0.166677,0.166735,0.196702,0.166667,0.171760,0.004988,0.029041,-0.005025,-0.029256,-1.007418
Ra,0.583367,0.583434,0.583456,0.583339,0.583367,0.598351,0.583333,0.585880,0.002494,0.004257,-0.002513,-0.004289,-1.007618
Rb,0.083367,0.083434,0.083456,0.083339,0.083367,0.098351,0.083333,0.085880,0.002494,0.029041,-0.002513,-0.029262,-1.007618
Va,0.678758,0.667549,0.675029,0.704796,0.697525,0.586817,0.726386,0.676350,0.019880,0.029393,0.002408,0.003560,0.121127
Vb,0.247034,0.232005,0.230241,0.266035,0.278025,0.236613,0.303174,0.257682,0.012123,0.047046,-0.010648,-0.041322,-0.878330
L_Vf,0.370000,0.385000,0.375000,0.345000,0.345000,0.455000,0.315000,0.370000,0.019791,0.053489,0.000000,0.000000,0.000000
L_Sf,0.166677,0.166704,0.166701,0.166668,0.166672,0.176656,0.166651,0.168342,0.001663,0.009879,-0.001665,-0.009891,-1.001203
U_Vf,0.415000,0.430000,0.420000,0.390000,0.390000,0.500000,0.360000,0.415000,0.019791,0.047689,0.000000,0.000000,0.000000
U_Sf,0.167264,0.168187,0.168061,0.166781,0.167074,0.250639,0.166668,0.181235,0.013883,0.076602,-0.013971,-0.077088,-1.006339
