METRIC,S2016
Vf,0.369603
Sf,0.166735
EG,0.072471
PR,0.202868
GAMMA,0.332588
BS_50,0.185425
BV_50,0.035007
BS_V,-0.070924
GS,0.082687
MM,0.044567
LO,0.024450
DECL,44.049761
R,2.555775
r,0.005198
Sb,0.166735
Ra,0.583367
Rb,0.083367
Va,0.697525
Vb,0.278025
L_Vf,0.345000
L_Sf,0.166672
U_Vf,0.390000
U_Sf,0.167074
