Vf,P2020
0.250,0.042905
0.255,0.056553
0.260,0.071603
0.265,0.087296
0.270,0.102769
0.275,0.117197
0.280,0.129919
0.285,0.140526
0.290,0.148890
0.295,0.155127
0.300,0.159524
0.305,0.162456
0.310,0.164304
0.315,0.165406
0.320,0.166028
0.325,0.166359
0.330,0.166526
0.335,0.166606
0.340,0.166642
0.345,0.166658
0.350,0.166664
0.355,0.166667
0.360,0.166670
0.365,0.166672
0.370,0.166676
0.375,0.166682
0.380,0.166690
0.385,0.166704
0.390,0.166724
0.395,0.166754
0.400,0.166798
0.405,0.166863
0.410,0.166970
0.415,0.167131
0.420,0.167366
0.425,0.167705
0.430,0.168187
0.435,0.168861
0.440,0.169791
0.445,0.171054
0.450,0.172747
0.455,0.174984
0.460,0.177899
0.465,0.181646
0.470,0.186399
0.475,0.192352
0.480,0.199712
0.485,0.208700
0.490,0.219539
0.495,0.232456
0.500,0.247664
0.505,0.265357
0.510,0.285699
0.515,0.308806
0.520,0.334742
0.525,0.363497
0.530,0.394983
0.535,0.429019
0.540,0.465334
0.545,0.503558
0.550,0.543234
0.555,0.583828
0.560,0.624750
0.565,0.665375
0.570,0.705075
0.575,0.743247
0.580,0.779346
0.585,0.812907
0.590,0.843572
0.595,0.871097
0.600,0.895361
0.605,0.916362
0.610,0.934202
0.615,0.949072
0.620,0.961234
0.625,0.970988
0.630,0.978661
0.635,0.984579
0.640,0.989053
0.645,0.992369
0.650,0.994777
0.655,0.996491
0.660,0.997686
0.665,0.998503
0.670,0.999050
0.675,0.999409
0.680,0.999639
0.685,0.999784
0.690,0.999873
0.695,0.999927
0.700,0.999959
0.705,0.999977
0.710,0.999988
0.715,0.999993
0.720,0.999997
0.725,0.999998
0.730,0.999999
0.735,1.000000
0.740,1.000000
0.745,1.000000
0.750,1.000000
