Vf,composite,P2020,P2016,S2018,S2016,G2020,AG2020
0.655,0.998268,0.998415,0.998049,0.997222,0.997931,0.998867,0.998612
0.660,0.998879,0.998980,0.998735,0.998175,0.998647,0.999278,0.999108
0.665,0.999288,0.999355,0.999194,0.998824,0.999132,0.999548,0.999437
0.670,0.999556,0.999600,0.999497,0.999256,0.999453,0.999722,0.999651
0.675,0.999728,0.999757,0.999691,0.999539,0.999662,0.999832,0.999788
0.680,0.999837,0.999854,0.999814,0.999719,0.999795,0.999900,0.999873
0.685,0.999904,0.999915,0.999890,0.999832,0.999878,0.999942,0.999926
0.690,0.999944,0.999951,0.999936,0.999902,0.999929,0.999967,0.999957
0.695,0.999968,0.999972,0.999964,0.999944,0.999959,0.999981,0.999976
0.700,0.999982,0.999985,0.999980,0.999968,0.999977,0.999990,0.999987
0.705,0.999990,0.999992,0.999989,0.999983,0.999987,0.999994,0.999993
0.710,0.999995,0.999996,0.999994,0.999991,0.999993,0.999997,0.999996
0.715,0.999997,0.999998,0.999997,0.999995,0.999996,0.999998,0.999998
0.720,0.999999,0.999999,0.999998,0.999997,0.999998,0.999999,0.999999
0.725,0.999999,0.999999,0.999999,0.999999,0.999999,1.000000,0.999999
0.730,1.000000,1.000000,1.000000,0.999999,1.000000,1.000000,1.000000
0.735,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
0.740,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
0.745,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
0.750,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
