Vf,P2020
0.250,0.003999
0.255,0.006273
0.260,0.009463
0.265,0.013736
0.270,0.019207
0.275,0.025899
0.280,0.033723
0.285,0.042465
0.290,0.051804
0.295,0.061349
0.300,0.070689
0.305,0.079453
0.310,0.087365
0.315,0.094272
0.320,0.100155
0.325,0.105121
0.330,0.109370
0.335,0.113158
0.340,0.116760
0.345,0.120436
0.350,0.124404
0.355,0.128831
0.360,0.133819
0.365,0.139406
0.370,0.145566
0.375,0.152222
0.380,0.159249
0.385,0.166492
0.390,0.173780
0.395,0.180943
0.400,0.187826
0.405,0.194304
0.410,0.200296
0.415,0.205762
0.420,0.210116
0.425,0.213415
0.430,0.216775
0.435,0.220279
0.440,0.224021
0.445,0.228113
0.450,0.232679
0.455,0.237856
0.460,0.243796
0.465,0.250662
0.470,0.258630
0.475,0.267887
0.480,0.278627
0.485,0.291047
0.490,0.305346
0.495,0.321711
0.500,0.340311
0.505,0.361286
0.510,0.384730
0.515,0.410680
0.520,0.439101
0.525,0.469873
0.530,0.502787
0.535,0.537537
0.540,0.573727
0.545,0.610881
0.550,0.648459
0.555,0.685883
0.560,0.722564
0.565,0.757933
0.570,0.791469
0.575,0.822730
0.580,0.851365
0.585,0.877135
0.590,0.899915
0.595,0.919690
0.600,0.936544
0.605,0.950645
0.610,0.962224
0.615,0.971557
0.620,0.978937
0.625,0.984663
0.630,0.989022
0.635,0.992277
0.640,0.994661
0.645,0.996374
0.650,0.997581
0.655,0.998415
0.660,0.998980
0.665,0.999355
0.670,0.999600
0.675,0.999757
0.680,0.999854
0.685,0.999915
0.690,0.999951
0.695,0.999972
0.700,0.999985
0.705,0.999992
0.710,0.999996
0.715,0.999998
0.720,0.999999
0.725,0.999999
0.730,1.000000
0.735,1.000000
0.740,1.000000
0.745,1.000000
0.750,1.000000
