METRIC,composite
Vf,0.434732
Sf,0.222492
EG,0.146972
PR,0.212240
GAMMA,0.251684
BS_50,0.173946
BV_50,0.030771
BS_V,0.010473
GS,0.058057
MM,0.047039
LO,0.016283
DECL,33.729865
R,4.251824
r,0.395667
Sb,0.222492
Ra,0.611246
Rb,0.111246
Va,0.621545
Vb,0.362171
L_Vf,0.410000
L_Sf,0.209138
U_Vf,0.455000
U_Sf,0.232343
