METRIC,S2018
Vf,0.469095
Sf,0.252815
EG,0.185375
PR,0.216280
GAMMA,0.207751
BS_50,0.172167
BV_50,0.033997
BS_V,0.133300
GS,0.054522
MM,0.045700
LO,0.055450
DECL,35.500834
R,7.998229
r,1.275975
Sb,0.252815
Ra,0.626407
Rb,0.126407
Va,0.590783
Vb,0.353767
L_Vf,0.445000
L_Sf,0.230323
U_Vf,0.490000
U_Sf,0.296027
