METRIC,P2020
Vf,0.418018
Sf,0.208809
EG,0.127227
PR,0.209209
GAMMA,0.219799
BS_50,0.159689
BV_50,0.029577
BS_V,-0.034985
GS,0.058041
MM,0.057509
LO,-0.001751
DECL,33.061219
R,3.551884
r,0.870823
Sb,0.208809
Ra,0.604405
Rb,0.104405
Va,0.634794
Vb,0.366957
L_Vf,0.395000
L_Sf,0.180943
U_Vf,0.440000
U_Sf,0.224021
