Vf,G2020
0.250,0.005058
0.255,0.007813
0.260,0.011601
0.265,0.016575
0.270,0.022814
0.275,0.030292
0.280,0.038859
0.285,0.048253
0.290,0.058123
0.295,0.068086
0.300,0.077782
0.305,0.086935
0.310,0.095389
0.315,0.103126
0.320,0.110250
0.325,0.116953
0.330,0.123469
0.335,0.130023
0.340,0.136792
0.345,0.143877
0.350,0.151289
0.355,0.158957
0.360,0.166744
0.365,0.172393
0.370,0.176661
0.375,0.180833
0.380,0.184878
0.385,0.188764
0.390,0.192468
0.395,0.195972
0.400,0.199268
0.405,0.202355
0.410,0.205243
0.415,0.207956
0.420,0.210529
0.425,0.213014
0.430,0.215479
0.435,0.218015
0.440,0.220730
0.445,0.223760
0.450,0.227262
0.455,0.231422
0.460,0.236449
0.465,0.242575
0.470,0.250052
0.475,0.259143
0.480,0.270119
0.485,0.283240
0.490,0.298752
0.495,0.316864
0.500,0.337736
0.505,0.361466
0.510,0.388071
0.515,0.417476
0.520,0.449508
0.525,0.483892
0.530,0.520251
0.535,0.558120
0.540,0.596956
0.545,0.636165
0.550,0.675127
0.555,0.713224
0.560,0.749870
0.565,0.784541
0.570,0.816797
0.575,0.846300
0.580,0.872824
0.585,0.896259
0.590,0.916603
0.595,0.933954
0.600,0.948489
0.605,0.960447
0.610,0.970107
0.615,0.977770
0.620,0.983737
0.625,0.988299
0.630,0.991721
0.635,0.994242
0.640,0.996063
0.645,0.997354
0.650,0.998253
0.655,0.998867
0.660,0.999278
0.665,0.999548
0.670,0.999722
0.675,0.999832
0.680,0.999900
0.685,0.999942
0.690,0.999967
0.695,0.999981
0.700,0.999990
0.705,0.999994
0.710,0.999997
0.715,0.999998
0.720,0.999999
0.725,1.000000
0.730,1.000000
0.735,1.000000
0.740,1.000000
0.745,1.000000
0.750,1.000000
