METRIC,S2016
Vf,0.448695
Sf,0.233068
EG,0.164322
PR,0.215627
GAMMA,0.233695
BS_50,0.156574
BV_50,0.028492
BS_V,0.053134
GS,0.050837
MM,0.043418
LO,0.024445
DECL,32.729010
R,5.202853
r,0.647845
Sb,0.233068
Ra,0.616534
Rb,0.116534
Va,0.605466
Vb,0.370089
L_Vf,0.425000
L_Sf,0.220763
U_Vf,0.470000
U_Sf,0.257411
