CD,composite,CD,P2020,CD,P2016,CD,S2018,CD,S2016,CD,G2020,CD,AG2020
1,0.579496,1,0.542465,1,0.562710,1,0.618457,1,0.602524,1,0.502856,1,0.535805
2,0.405202,2,0.385023,2,0.366200,2,0.457616,2,0.426534,2,0.333047,2,0.376389
3,0.357214,3,0.347235,3,0.318687,3,0.384868,3,0.377156,3,0.280722,3,0.340149
4,0.356006,4,0.350933,4,0.317551,4,0.389501,4,0.362014,4,0.293043,4,0.337674
5,0.410123,5,0.418674,5,0.374596,5,0.447252,5,0.403135,5,0.324025,5,0.394240
6,0.345620,6,0.336903,6,0.301312,6,0.375205,6,0.355017,6,0.287966,6,0.333580
7,0.700853,7,0.715691,7,0.690152,7,0.728828,7,0.678091,7,0.625955,7,0.696886
8,0.387693,8,0.332761,8,0.319945,8,0.397119,8,0.434785,8,0.279553,8,0.394322
9,0.383263,9,0.360509,9,0.350329,9,0.423395,9,0.405277,9,0.328536,9,0.361281
