Vf,AG2020
0.250,0.002271
0.255,0.003689
0.260,0.005769
0.265,0.008687
0.270,0.012610
0.275,0.017659
0.280,0.023879
0.285,0.031220
0.290,0.039518
0.295,0.048505
0.300,0.057839
0.305,0.067140
0.310,0.076050
0.315,0.084279
0.320,0.091642
0.325,0.098076
0.330,0.103639
0.335,0.108490
0.340,0.112852
0.345,0.116979
0.350,0.121121
0.355,0.125493
0.360,0.130261
0.365,0.135528
0.370,0.141329
0.375,0.147636
0.380,0.154367
0.385,0.161396
0.390,0.168566
0.395,0.175707
0.400,0.182654
0.405,0.189258
0.410,0.195404
0.415,0.201016
0.420,0.204961
0.425,0.208239
0.430,0.211503
0.435,0.214839
0.440,0.218357
0.445,0.222187
0.450,0.226487
0.455,0.231436
0.460,0.237233
0.465,0.244099
0.470,0.252267
0.475,0.261976
0.480,0.273468
0.485,0.286973
0.490,0.302702
0.495,0.320833
0.500,0.341502
0.505,0.364789
0.510,0.390706
0.515,0.419189
0.520,0.450093
0.525,0.483183
0.530,0.518142
0.535,0.554570
0.540,0.592000
0.545,0.629910
0.550,0.667747
0.555,0.704948
0.560,0.740967
0.565,0.775298
0.570,0.807501
0.575,0.837219
0.580,0.864191
0.585,0.888261
0.590,0.909374
0.595,0.927574
0.600,0.942988
0.605,0.955811
0.610,0.966287
0.615,0.974690
0.620,0.981308
0.625,0.986423
0.630,0.990304
0.635,0.993193
0.640,0.995304
0.645,0.996816
0.650,0.997879
0.655,0.998612
0.660,0.999108
0.665,0.999437
0.670,0.999651
0.675,0.999788
0.680,0.999873
0.685,0.999926
0.690,0.999957
0.695,0.999976
0.700,0.999987
0.705,0.999993
0.710,0.999996
0.715,0.999998
0.720,0.999999
0.725,0.999999
0.730,1.000000
0.735,1.000000
0.740,1.000000
0.745,1.000000
0.750,1.000000
