METRIC,G2020
Vf,0.361929
Sf,0.169741
EG,0.054117
PR,0.192188
GAMMA,0.174247
BS_50,0.162264
BV_50,0.027215
BS_V,-0.082142
GS,0.062954
MM,0.037904
LO,-0.100198
DECL,20.633320
R,2.391949
r,1.129939
Sb,0.169741
Ra,0.584871
Rb,0.084871
Va,0.683564
Vb,0.416634
L_Vf,0.340000
L_Sf,0.136792
U_Vf,0.385000
U_Sf,0.188764
