METRIC,composite,P2020,P2016,S2018,S2016,G2020,AG2020,MEAN,SEM,RSE,Δ,Δ/MEAN,Δ/SEM
Vf,0.434732,0.418018,0.398841,0.469095,0.448695,0.361929,0.416595,0.418862,0.015342,0.036628,0.015870,0.037888,1.034415
Sf,0.222492,0.208809,0.215878,0.252815,0.233068,0.169741,0.202688,0.213833,0.011529,0.053916,0.008659,0.040494,0.751063
EG,0.146972,0.127227,0.081804,0.185375,0.164322,0.054117,0.130502,0.123891,0.020091,0.162167,0.023081,0.186301,1.148823
PR,0.212240,0.209209,0.182963,0.216280,0.215627,0.192188,0.213907,0.205029,0.005736,0.027977,0.007211,0.035171,1.257148
GAMMA,0.251684,0.219799,0.238015,0.207751,0.233695,0.174247,0.231501,0.217501,0.009747,0.044814,0.034183,0.157162,3.507028
BS_50,0.173946,0.159689,0.180335,0.172167,0.156574,0.162264,0.158498,0.164921,0.003810,0.023102,0.009025,0.054723,2.368766
BV_50,0.030771,0.029577,0.032851,0.033997,0.028492,0.027215,0.027405,0.029923,0.001169,0.039067,0.000848,0.028339,0.725406
BS_V,0.010473,-0.034985,-0.073876,0.133300,0.053134,-0.082142,-0.041429,-0.007666,0.034344,-4.480042,0.018139,-2.366162,0.528156
GS,0.058057,0.058041,0.068292,0.054522,0.050837,0.062954,0.055508,0.058359,0.002578,0.044175,-0.000302,-0.005175,-0.117145
MM,0.047039,0.057509,0.048512,0.045700,0.043418,0.037904,0.040206,0.045541,0.002848,0.062537,0.001498,0.032893,0.525983
LO,0.016283,-0.001751,-0.034439,0.055450,0.024445,-0.100198,-0.009693,-0.011031,0.021806,-1.976793,0.027314,-2.476113,1.252591
DECL,33.729865,33.061219,27.370733,35.500834,32.729010,20.633320,32.138199,30.238886,2.205712,0.072943,3.490979,0.115447,1.582699
R,4.251824,3.551884,2.808669,7.998229,5.202853,2.391949,3.564677,4.253044,0.845457,0.198789,-0.001220,-0.000287,-0.001443
r,0.395667,0.870823,0.455788,1.275975,0.647845,1.129939,0.789058,0.861571,0.123752,0.143635,-0.465904,-0.540761,-3.764820
Sb,0.222492,0.208809,0.215878,0.252815,0.233068,0.169741,0.202688,0.213833,0.011529,0.053916,0.008659,0.040494,0.751063
Ra,0.611246,0.604405,0.607939,0.626407,0.616534,0.584871,0.601344,0.606917,0.005764,0.009497,0.004329,0.007133,0.751041
Rb,0.111246,0.104405,0.107939,0.126407,0.116534,0.084871,0.101344,0.106917,0.005764,0.053911,0.004329,0.040489,0.751041
Va,0.621545,0.634794,0.662607,0.590783,0.605466,0.683564,0.633043,0.635043,0.014085,0.022180,-0.013498,-0.021255,-0.958324
Vb,0.362171,0.366957,0.371832,0.353767,0.370089,0.416634,0.376650,0.375988,0.008718,0.023187,-0.013817,-0.036749,-1.584882
L_Vf,0.410000,0.395000,0.375000,0.445000,0.425000,0.340000,0.395000,0.395833,0.015078,0.038092,0.014167,0.035790,0.939581
L_Sf,0.209138,0.180943,0.196268,0.230323,0.220763,0.136792,0.175707,0.190133,0.013819,0.072681,0.019005,0.099956,1.375280
U_Vf,0.455000,0.440000,0.420000,0.490000,0.470000,0.385000,0.440000,0.440833,0.015078,0.034203,0.014167,0.032137,0.939581
U_Sf,0.232343,0.224021,0.220332,0.296027,0.257411,0.188764,0.218357,0.234152,0.015245,0.065107,-0.001809,-0.007726,-0.118662
