METRIC,composite,P2020,P2016,S2018,S2016,G2020,AG2020
Vf,0.434732,0.418018,0.398841,0.469095,0.448695,0.361929,0.416595
Sf,0.222492,0.208809,0.215878,0.252815,0.233068,0.169741,0.202688
EG,0.146972,0.127227,0.081804,0.185375,0.164322,0.054117,0.130502
PR,0.212240,0.209209,0.182963,0.216280,0.215627,0.192188,0.213907
GAMMA,0.251684,0.219799,0.238015,0.207751,0.233695,0.174247,0.231501
BS_50,0.173946,0.159689,0.180335,0.172167,0.156574,0.162264,0.158498
BV_50,0.030771,0.029577,0.032851,0.033997,0.028492,0.027215,0.027405
BS_V,0.010473,-0.034985,-0.073876,0.133300,0.053134,-0.082142,-0.041429
GS,0.058057,0.058041,0.068292,0.054522,0.050837,0.062954,0.055508
MM,0.047039,0.057509,0.048512,0.045700,0.043418,0.037904,0.040206
LO,0.016283,-0.001751,-0.034439,0.055450,0.024445,-0.100198,-0.009693
DECL,33.729865,33.061219,27.370733,35.500834,32.729010,20.633320,32.138199
R,4.251824,3.551884,2.808669,7.998229,5.202853,2.391949,3.564677
r,0.395667,0.870823,0.455788,1.275975,0.647845,1.129939,0.789058
Sb,0.222492,0.208809,0.215878,0.252815,0.233068,0.169741,0.202688
Ra,0.611246,0.604405,0.607939,0.626407,0.616534,0.584871,0.601344
Rb,0.111246,0.104405,0.107939,0.126407,0.116534,0.084871,0.101344
Va,0.621545,0.634794,0.662607,0.590783,0.605466,0.683564,0.633043
Vb,0.362171,0.366957,0.371832,0.353767,0.370089,0.416634,0.376650
L_Vf,0.410000,0.395000,0.375000,0.445000,0.425000,0.340000,0.395000
L_Sf,0.209138,0.180943,0.196268,0.230323,0.220763,0.136792,0.175707
U_Vf,0.455000,0.440000,0.420000,0.490000,0.470000,0.385000,0.440000
U_Sf,0.232343,0.224021,0.220332,0.296027,0.257411,0.188764,0.218357
