METRIC,composite,P2020,P2016,S2020,S2016,G2018,AG2020,MEAN,SEM,RSE,Δ,Δ/MEAN,Δ/SEM
Vf,0.574982,0.583171,0.561709,0.591474,0.629362,0.534268,0.575202,0.579198,0.012940,0.022341,-0.004216,-0.007279,-0.325811
Sf,0.771787,0.795960,0.725497,0.806774,0.901699,0.592327,0.775198,0.766243,0.041977,0.054783,0.005544,0.007235,0.132072
EG,-0.121823,-0.129618,-0.102079,-0.123826,-0.142975,-0.023791,-0.124794,-0.107847,0.017653,-0.163686,-0.013976,0.129591,-0.791707
PR,-0.196805,-0.212789,-0.163788,-0.215300,-0.272337,-0.058059,-0.199996,-0.187045,0.029485,-0.157636,-0.009760,0.052180,-0.331016
GAMMA,-0.088317,-0.150755,-0.008309,-0.179236,-0.179883,0.048835,-0.098849,-0.094700,0.038999,-0.411816,0.006383,-0.067402,0.163671
BS_50,0.022031,0.012696,0.032871,0.014516,0.038334,0.041016,0.018731,0.026361,0.005118,0.194150,-0.004330,-0.164258,-0.846034
BV_50,0.005274,0.002932,0.008125,0.003361,0.008551,0.011125,0.004428,0.006420,0.001355,0.211059,-0.001146,-0.178505,-0.845756
BS_V,-0.009442,-0.007259,-0.015517,0.010429,0.034561,0.025265,-0.009231,0.006375,0.008319,1.304941,-0.015817,-2.481098,-1.901310
GS,0.016386,0.019196,0.017492,0.017862,0.017075,0.011989,0.016162,0.016629,0.001013,0.060918,-0.000243,-0.014613,-0.239882
MM,0.017636,0.016657,0.020379,0.016836,0.027006,0.018501,0.016897,0.019379,0.001633,0.084266,-0.001743,-0.089943,-1.067361
LO,0.040329,0.035505,0.033531,0.051599,0.000000,0.032220,0.040327,0.032197,0.007052,0.219027,0.008132,0.252570,1.153148
DECL,-17.658945,-24.305746,-13.253651,-21.771419,0.000000,0.167451,-18.031417,-12.865797,4.368107,-0.339513,-4.793148,0.372550,-1.097306
R,3.624693,3.558446,3.654205,3.353680,3.105234,2.694267,3.659450,3.337547,0.154998,0.046441,0.287146,0.086035,1.852579
r,2.446850,1.745852,3.519557,1.394258,1.714692,4.119350,2.345000,2.473118,0.450540,0.182175,-0.026268,-0.010621,-0.058303
Sb,0.771787,0.795960,0.725497,0.806774,0.901699,0.592327,0.775198,0.766243,0.041977,0.054783,0.005544,0.007235,0.132072
Ra,0.885893,0.897980,0.862749,0.903387,0.950850,0.796164,0.887599,0.883122,0.020988,0.023766,0.002771,0.003138,0.132028
Rb,0.385893,0.397980,0.362749,0.403387,0.450850,0.296164,0.387599,0.383122,0.020988,0.054782,0.002771,0.007233,0.132028
Va,0.579718,0.592149,0.582389,0.580961,0.501865,0.569002,0.579203,0.567595,0.013488,0.023763,0.012123,0.021359,0.898799
Vb,0.379952,0.372346,0.384079,0.367440,0.355642,0.398778,0.380470,0.376459,0.006066,0.016113,0.003493,0.009279,0.575833
L_Vf,0.550000,0.560000,0.540000,0.570000,0.605000,0.510000,0.555000,0.556667,0.012888,0.023152,-0.006667,-0.011977,-0.517303
L_Sf,0.695461,0.741927,0.641736,0.767078,0.859413,0.495654,0.717733,0.703924,0.050677,0.071992,-0.008463,-0.012023,-0.166999
U_Vf,0.595000,0.605000,0.585000,0.615000,0.650000,0.555000,0.600000,0.601667,0.012888,0.021420,-0.006667,-0.011081,-0.517303
U_Sf,0.811029,0.823778,0.791978,0.833451,0.950404,0.684298,0.819056,0.817161,0.034811,0.042600,-0.006132,-0.007504,-0.176151
