Vf,G2018
0.250,0.000002
0.255,0.000005
0.260,0.000010
0.265,0.000019
0.270,0.000037
0.275,0.000068
0.280,0.000123
0.285,0.000215
0.290,0.000369
0.295,0.000616
0.300,0.001002
0.305,0.001591
0.310,0.002465
0.315,0.003728
0.320,0.005503
0.325,0.007933
0.330,0.011174
0.335,0.015386
0.340,0.020720
0.345,0.027307
0.350,0.035240
0.355,0.044569
0.360,0.055284
0.365,0.067318
0.370,0.080547
0.375,0.094800
0.380,0.109873
0.385,0.125543
0.390,0.141589
0.395,0.157804
0.400,0.174005
0.405,0.190043
0.410,0.205802
0.415,0.221197
0.420,0.236173
0.425,0.250701
0.430,0.264774
0.435,0.278409
0.440,0.291645
0.445,0.304546
0.450,0.317200
0.455,0.329720
0.460,0.342237
0.465,0.354901
0.470,0.367864
0.475,0.381278
0.480,0.395281
0.485,0.409989
0.490,0.425485
0.495,0.441815
0.500,0.458984
0.505,0.476955
0.510,0.495654
0.515,0.514968
0.520,0.534756
0.525,0.554856
0.530,0.575090
0.535,0.595686
0.540,0.618578
0.545,0.641165
0.550,0.663161
0.555,0.684298
0.560,0.704340
0.565,0.723097
0.570,0.740438
0.575,0.756300
0.580,0.770689
0.585,0.783693
0.590,0.795469
0.595,0.806238
0.600,0.816274
0.605,0.825878
0.610,0.835356
0.615,0.844990
0.620,0.855011
0.625,0.865570
0.630,0.876724
0.635,0.888425
0.640,0.900526
0.645,0.912797
0.650,0.924953
0.655,0.936687
0.660,0.947704
0.665,0.957756
0.670,0.966660
0.675,0.974313
0.680,0.980695
0.685,0.985857
0.690,0.989905
0.695,0.992983
0.700,0.995253
0.705,0.996875
0.710,0.997999
0.715,0.998754
0.720,0.999246
0.725,0.999556
0.730,0.999747
0.735,0.999859
0.740,0.999924
0.745,0.999960
0.750,0.999980
