CD,composite,P2020,P2016,S2020,S2016,G2018,AG2020
2,0.375240,0.374838,0.346369,0.395838,0.493664,0.342015,0.377827
5,0.531528,0.545316,0.516088,0.551452,0.590724,0.475028,0.533266
6,0.552323,0.567711,0.537852,0.568842,0.589018,0.501347,0.554124
4,0.562369,0.565317,0.544809,0.580435,0.613988,0.530188,0.562487
1,0.686817,0.701595,0.683510,0.702488,0.714794,0.631421,0.686462
3,0.738473,0.742053,0.740276,0.748759,0.777718,0.710959,0.734960
