METRIC,composite
Vf,0.574982
Sf,0.771787
EG,-0.121823
PR,-0.196805
GAMMA,-0.088317
BS_50,0.022031
BV_50,0.005274
BS_V,-0.009442
GS,0.016386
MM,0.017636
LO,0.040329
DECL,-17.658945
R,3.624693
r,2.446850
Sb,0.771787
Ra,0.885893
Rb,0.385893
Va,0.579718
Vb,0.379952
L_Vf,0.550000
L_Sf,0.695461
U_Vf,0.595000
U_Sf,0.811029
