METRIC,P2016
Vf,0.561709
Sf,0.725497
EG,-0.102079
PR,-0.163788
GAMMA,-0.008309
BS_50,0.032871
BV_50,0.008125
BS_V,-0.015517
GS,0.017492
MM,0.020379
LO,0.033531
DECL,-13.253651
R,3.654205
r,3.519557
Sb,0.725497
Ra,0.862749
Rb,0.362749
Va,0.582389
Vb,0.384079
L_Vf,0.540000
L_Sf,0.641736
U_Vf,0.585000
U_Sf,0.791978
