Vf,composite,P2020,P2016,S2020,S2016,G2018,AG2020
0.250,0.000001,0.000001,0.000002,0.000000,0.000000,0.000002,0.000001
0.255,0.000001,0.000001,0.000004,0.000001,0.000000,0.000005,0.000001
0.260,0.000003,0.000002,0.000007,0.000002,0.000001,0.000010,0.000002
0.265,0.000006,0.000004,0.000014,0.000004,0.000001,0.000019,0.000005
0.270,0.000011,0.000009,0.000028,0.000007,0.000003,0.000037,0.000010
0.275,0.000022,0.000017,0.000052,0.000013,0.000005,0.000068,0.000018
0.280,0.000040,0.000031,0.000094,0.000025,0.000010,0.000123,0.000034
0.285,0.000073,0.000057,0.000167,0.000046,0.000019,0.000215,0.000062
0.290,0.000129,0.000101,0.000289,0.000083,0.000035,0.000369,0.000111
0.295,0.000224,0.000177,0.000488,0.000145,0.000062,0.000616,0.000193
0.300,0.000378,0.000301,0.000804,0.000248,0.000108,0.001002,0.000327
0.305,0.000624,0.000502,0.001293,0.000415,0.000184,0.001591,0.000542
0.310,0.001006,0.000818,0.002032,0.000679,0.000307,0.002465,0.000879
0.315,0.001585,0.001303,0.003117,0.001086,0.000501,0.003728,0.001392
0.320,0.002442,0.002030,0.004672,0.001698,0.000799,0.005503,0.002157
0.325,0.003679,0.003092,0.006842,0.002599,0.001248,0.007933,0.003268
0.330,0.005422,0.004608,0.009794,0.003891,0.001909,0.011174,0.004843
0.335,0.007817,0.006721,0.013712,0.005701,0.002860,0.015386,0.007025
0.340,0.011032,0.009597,0.018783,0.008180,0.004197,0.020720,0.009975
0.345,0.015244,0.013418,0.025185,0.011494,0.006034,0.027307,0.013869
0.350,0.020635,0.018377,0.033074,0.015824,0.008503,0.035240,0.018891
0.355,0.027375,0.024666,0.042567,0.021352,0.011748,0.044569,0.025218
0.360,0.035609,0.032457,0.053724,0.028250,0.015922,0.055284,0.033007
0.365,0.045442,0.041890,0.066539,0.036666,0.021173,0.067318,0.042382
0.370,0.056926,0.053054,0.080930,0.046708,0.027642,0.080547,0.053416
0.375,0.070046,0.065974,0.096743,0.058429,0.035444,0.094800,0.066119
0.380,0.084719,0.080599,0.113754,0.071819,0.044662,0.109873,0.080432
0.385,0.100787,0.096797,0.131682,0.086794,0.055339,0.125543,0.096223
0.390,0.118032,0.114356,0.150208,0.103200,0.067465,0.141589,0.113290
0.395,0.136180,0.133000,0.168995,0.120815,0.080980,0.157804,0.131373
0.400,0.154924,0.152399,0.187710,0.139364,0.095775,0.174005,0.150169
0.405,0.173943,0.172194,0.206043,0.158537,0.111694,0.190043,0.169353
0.410,0.192923,0.192026,0.223728,0.178009,0.128548,0.205802,0.188602
0.415,0.211579,0.211559,0.240553,0.197467,0.146126,0.221197,0.207614
0.420,0.229675,0.230506,0.256376,0.216627,0.164212,0.236173,0.226133
0.425,0.247035,0.248651,0.271123,0.235261,0.182596,0.250701,0.243962
0.430,0.263556,0.265861,0.284795,0.253206,0.201092,0.264774,0.260977
0.435,0.279209,0.282093,0.297462,0.270376,0.219548,0.278409,0.277134
0.440,0.294040,0.297396,0.309258,0.286769,0.237855,0.291645,0.292464
0.445,0.308165,0.311900,0.320372,0.302455,0.255951,0.304546,0.307074
0.450,0.321755,0.325806,0.331036,0.317578,0.273826,0.317200,0.321133
0.455,0.335031,0.339365,0.341510,0.332334,0.291516,0.329720,0.334856
0.460,0.348239,0.352860,0.352073,0.346957,0.309101,0.342237,0.348495
0.465,0.361639,0.366585,0.363002,0.361702,0.326694,0.354901,0.362311
0.470,0.375488,0.380822,0.374562,0.376824,0.344434,0.367864,0.376563
0.475,0.390018,0.395824,0.386988,0.392558,0.362471,0.381278,0.391489
0.480,0.405429,0.411796,0.400477,0.409104,0.380956,0.395281,0.407287
0.485,0.421869,0.428886,0.415176,0.426613,0.400025,0.409989,0.424107
0.490,0.439431,0.447174,0.431176,0.445174,0.419791,0.425485,0.442039
0.495,0.458143,0.466668,0.448505,0.464812,0.440328,0.441815,0.461107
0.500,0.477969,0.487304,0.467129,0.485484,0.461666,0.458984,0.481269
0.505,0.498810,0.508953,0.486954,0.507081,0.483786,0.476955,0.502419
0.510,0.520507,0.531422,0.507827,0.529436,0.506617,0.495654,0.524392
0.515,0.542855,0.554473,0.529548,0.552332,0.530039,0.514968,0.546975
0.520,0.565611,0.577829,0.551878,0.575513,0.553887,0.534756,0.569917
0.525,0.588503,0.601194,0.574547,0.598703,0.577965,0.554856,0.592942
0.530,0.611251,0.624262,0.597270,0.621614,0.602050,0.575090,0.615764
0.535,0.633574,0.646738,0.619760,0.643963,0.625908,0.595686,0.638102
0.540,0.655205,0.668347,0.641736,0.665487,0.649307,0.618578,0.659688
0.545,0.675903,0.688848,0.662939,0.685952,0.672031,0.641165,0.680284
0.550,0.695461,0.708039,0.683138,0.705159,0.693886,0.663161,0.699686
0.555,0.713710,0.725767,0.702139,0.722957,0.714712,0.684298,0.717733
0.560,0.730527,0.741927,0.719793,0.739241,0.734391,0.704340,0.734310
0.565,0.745835,0.756466,0.737391,0.753952,0.752845,0.723097,0.749347
0.570,0.759600,0.769378,0.753884,0.767078,0.770041,0.740438,0.762821
0.575,0.771834,0.780696,0.768448,0.778649,0.785986,0.756300,0.774748
0.580,0.784000,0.790491,0.781114,0.788729,0.800721,0.770689,0.786473
0.585,0.794463,0.799221,0.791978,0.797414,0.814321,0.783693,0.796589
0.590,0.803397,0.807107,0.801192,0.804817,0.826878,0.795469,0.805226
0.595,0.811029,0.813661,0.808959,0.811789,0.838503,0.806238,0.812621
0.600,0.817628,0.819127,0.815525,0.818021,0.849309,0.816274,0.819056
0.605,0.823502,0.823778,0.821172,0.823491,0.859413,0.825878,0.824842
0.610,0.828980,0.827908,0.826212,0.828523,0.868921,0.835356,0.830315
0.615,0.834404,0.831827,0.830975,0.833451,0.877930,0.844990,0.835817
0.620,0.840110,0.835854,0.835802,0.838610,0.886523,0.855011,0.841675
0.625,0.846407,0.840306,0.841026,0.844317,0.894762,0.865570,0.848187
0.630,0.853551,0.845481,0.846951,0.850846,0.903336,0.876724,0.855588
