METRIC,G2018
Vf,0.534268
Sf,0.592327
EG,-0.023791
PR,-0.058059
GAMMA,0.048835
BS_50,0.041016
BV_50,0.011125
BS_V,0.025265
GS,0.011989
MM,0.018501
LO,0.032220
DECL,0.167451
R,2.694267
r,4.119350
Sb,0.592327
Ra,0.796164
Rb,0.296164
Va,0.569002
Vb,0.398778
L_Vf,0.510000
L_Sf,0.495654
U_Vf,0.555000
U_Sf,0.684298
