METRIC,S2016
Vf,0.629362
Sf,0.901699
EG,-0.142975
PR,-0.272337
GAMMA,-0.179883
BS_50,0.038334
BV_50,0.008551
BS_V,0.034561
GS,0.017075
MM,0.027006
LO,0.000000
DECL,0.000000
R,3.105234
r,1.714692
Sb,0.901699
Ra,0.950850
Rb,0.450850
Va,0.501865
Vb,0.355642
L_Vf,0.605000
L_Sf,0.859413
U_Vf,0.650000
U_Sf,0.950404
