Vf,AG2020
0.250,0.000001
0.255,0.000001
0.260,0.000002
0.265,0.000005
0.270,0.000010
0.275,0.000018
0.280,0.000034
0.285,0.000062
0.290,0.000111
0.295,0.000193
0.300,0.000327
0.305,0.000542
0.310,0.000879
0.315,0.001392
0.320,0.002157
0.325,0.003268
0.330,0.004843
0.335,0.007025
0.340,0.009975
0.345,0.013869
0.350,0.018891
0.355,0.025218
0.360,0.033007
0.365,0.042382
0.370,0.053416
0.375,0.066119
0.380,0.080432
0.385,0.096223
0.390,0.113290
0.395,0.131373
0.400,0.150169
0.405,0.169353
0.410,0.188602
0.415,0.207614
0.420,0.226133
0.425,0.243962
0.430,0.260977
0.435,0.277134
0.440,0.292464
0.445,0.307074
0.450,0.321133
0.455,0.334856
0.460,0.348495
0.465,0.362311
0.470,0.376563
0.475,0.391489
0.480,0.407287
0.485,0.424107
0.490,0.442039
0.495,0.461107
0.500,0.481269
0.505,0.502419
0.510,0.524392
0.515,0.546975
0.520,0.569917
0.525,0.592942
0.530,0.615764
0.535,0.638102
0.540,0.659688
0.545,0.680284
0.550,0.699686
0.555,0.717733
0.560,0.734310
0.565,0.749347
0.570,0.762821
0.575,0.774748
0.580,0.786473
0.585,0.796589
0.590,0.805226
0.595,0.812621
0.600,0.819056
0.605,0.824842
0.610,0.830315
0.615,0.835817
0.620,0.841675
0.625,0.848187
0.630,0.855588
0.635,0.864034
0.640,0.873577
0.645,0.884153
0.650,0.895588
0.655,0.907605
0.660,0.919856
0.665,0.931958
0.670,0.943532
0.675,0.954245
0.680,0.963839
0.685,0.972151
0.690,0.979116
0.695,0.984762
0.700,0.989189
0.705,0.992545
0.710,0.995006
0.715,0.996752
0.720,0.997950
0.725,0.998744
0.730,0.999254
0.735,0.999570
0.740,0.999760
0.745,0.999870
0.750,0.999932
