METRIC,AG2020
Vf,0.575202
Sf,0.775198
EG,-0.124794
PR,-0.199996
GAMMA,-0.098849
BS_50,0.018731
BV_50,0.004428
BS_V,-0.009231
GS,0.016162
MM,0.016897
LO,0.040327
DECL,-18.031417
R,3.659450
r,2.345000
Sb,0.775198
Ra,0.887599
Rb,0.387599
Va,0.579203
Vb,0.380470
L_Vf,0.555000
L_Sf,0.717733
U_Vf,0.600000
U_Sf,0.819056
