Vf,P2020
0.250,0.000001
0.255,0.000001
0.260,0.000002
0.265,0.000004
0.270,0.000009
0.275,0.000017
0.280,0.000031
0.285,0.000057
0.290,0.000101
0.295,0.000177
0.300,0.000301
0.305,0.000502
0.310,0.000818
0.315,0.001303
0.320,0.002030
0.325,0.003092
0.330,0.004608
0.335,0.006721
0.340,0.009597
0.345,0.013418
0.350,0.018377
0.355,0.024666
0.360,0.032457
0.365,0.041890
0.370,0.053054
0.375,0.065974
0.380,0.080599
0.385,0.096797
0.390,0.114356
0.395,0.133000
0.400,0.152399
0.405,0.172194
0.410,0.192026
0.415,0.211559
0.420,0.230506
0.425,0.248651
0.430,0.265861
0.435,0.282093
0.440,0.297396
0.445,0.311900
0.450,0.325806
0.455,0.339365
0.460,0.352860
0.465,0.366585
0.470,0.380822
0.475,0.395824
0.480,0.411796
0.485,0.428886
0.490,0.447174
0.495,0.466668
0.500,0.487304
0.505,0.508953
0.510,0.531422
0.515,0.554473
0.520,0.577829
0.525,0.601194
0.530,0.624262
0.535,0.646738
0.540,0.668347
0.545,0.688848
0.550,0.708039
0.555,0.725767
0.560,0.741927
0.565,0.756466
0.570,0.769378
0.575,0.780696
0.580,0.790491
0.585,0.799221
0.590,0.807107
0.595,0.813661
0.600,0.819127
0.605,0.823778
0.610,0.827908
0.615,0.831827
0.620,0.835854
0.625,0.840306
0.630,0.845481
0.635,0.851634
0.640,0.858956
0.645,0.867544
0.650,0.877385
0.655,0.888346
0.660,0.900177
0.665,0.912533
0.670,0.925009
0.675,0.937181
0.680,0.948651
0.685,0.959090
0.690,0.968265
0.695,0.976052
0.700,0.982435
0.705,0.987485
0.710,0.991344
0.715,0.994192
0.720,0.996220
0.725,0.997616
0.730,0.998543
0.735,0.999137
0.740,0.999505
0.745,0.999725
0.750,0.999852
