CD,composite,P2020,P2016,S2018,S2016,G2018,AG2018,MEAN,SEM,RSE,Δ,Δ/MEAN,Δ/SEM
1,0.307694,0.335617,0.299506,0.323245,0.267295,0.321933,0.296586,0.307364,0.010077,0.032785,0.000330,0.001074,0.032748
12,0.361823,0.354973,0.351944,0.385987,0.375210,0.374669,0.333536,0.362720,0.007891,0.021755,-0.000897,-0.002473,-0.113674
19,0.366129,0.394116,0.380262,0.378891,0.320049,0.371957,0.344459,0.364956,0.011202,0.030694,0.001173,0.003214,0.104713
6,0.380664,0.380566,0.378488,0.395760,0.376112,0.393160,0.362988,0.381179,0.004900,0.012855,-0.000515,-0.001351,-0.105102
18,0.383153,0.384775,0.389155,0.395361,0.379382,0.390885,0.360178,0.383289,0.005130,0.013384,-0.000136,-0.000355,-0.026511
5,0.385095,0.420084,0.384682,0.401111,0.312641,0.410636,0.374640,0.383966,0.015795,0.041136,0.001129,0.002940,0.071478
8,0.399072,0.410811,0.391808,0.422397,0.380560,0.408559,0.378370,0.398751,0.007292,0.018287,0.000321,0.000805,0.044021
17,0.414837,0.419625,0.414224,0.434725,0.393313,0.426260,0.400524,0.414778,0.006370,0.015358,0.000059,0.000142,0.009262
11,0.421313,0.445176,0.422202,0.427355,0.394508,0.431020,0.399441,0.419950,0.007930,0.018883,0.001363,0.003246,0.171879
3,0.428046,0.428797,0.423294,0.455601,0.408038,0.440918,0.414561,0.428535,0.007139,0.016659,-0.000489,-0.001141,-0.068497
16,0.436321,0.455103,0.434116,0.449061,0.411538,0.450589,0.411215,0.435270,0.008086,0.018577,0.001051,0.002415,0.129978
26,0.444431,0.407862,0.518341,0.448547,0.415690,0.450670,0.435160,0.446045,0.016075,0.036039,-0.001614,-0.003618,-0.100404
2,0.445542,0.444459,0.437874,0.472377,0.424514,0.461787,0.437862,0.446479,0.007164,0.016046,-0.000937,-0.002099,-0.130793
4,0.447283,0.466081,0.445646,0.463825,0.387474,0.475427,0.445355,0.447301,0.012913,0.028869,-0.000018,-0.000040,-0.001394
21,0.455483,0.452478,0.447046,0.469995,0.461640,0.465182,0.437289,0.455605,0.005012,0.011001,-0.000122,-0.000268,-0.024342
7,0.460000,0.471974,0.459375,0.479273,0.429931,0.476707,0.440432,0.459615,0.008328,0.018120,0.000385,0.000838,0.046230
13,0.462321,0.465819,0.458888,0.492356,0.453709,0.478947,0.422675,0.462066,0.009744,0.021088,0.000255,0.000552,0.026170
15,0.476382,0.484142,0.479903,0.493718,0.455552,0.495462,0.448273,0.476175,0.008085,0.016979,0.000207,0.000435,0.025603
28,0.517459,0.468084,0.580430,0.534525,0.488544,0.531266,0.519998,0.520474,0.015993,0.030728,-0.003015,-0.005793,-0.188520
27,0.529924,0.498392,0.589335,0.544974,0.487987,0.537787,0.530245,0.531453,0.014784,0.027818,-0.001529,-0.002877,-0.103423
23,0.571992,0.566332,0.573003,0.590715,0.548725,0.582710,0.575845,0.572888,0.005916,0.010327,-0.000896,-0.001564,-0.151454
14,0.596103,0.597021,0.613936,0.613406,0.570501,0.618380,0.563046,0.596048,0.009769,0.016390,0.000055,0.000092,0.005630
22,0.596207,0.588620,0.603623,0.610275,0.570765,0.612992,0.594633,0.596818,0.006428,0.010770,-0.000611,-0.001024,-0.095053
9,0.599954,0.588012,0.637445,0.597956,0.572465,0.617975,0.588577,0.600405,0.009593,0.015978,-0.000451,-0.000751,-0.047013
25,0.627720,0.600163,0.646545,0.649148,0.604244,0.640997,0.636982,0.629680,0.008875,0.014094,-0.001960,-0.003113,-0.220845
10,0.652988,0.660744,0.669592,0.664988,0.608673,0.674815,0.638535,0.652891,0.010213,0.015643,0.000097,0.000149,0.009498
20,0.786330,0.763421,0.792356,0.799986,0.771333,0.804171,0.794706,0.787662,0.006709,0.008518,-0.001332,-0.001691,-0.198539
24,0.796482,0.746650,0.824289,0.813687,0.775599,0.820454,0.813251,0.798988,0.012658,0.015843,-0.002506,-0.003136,-0.197978
