Vf,composite
0.250,0.000834
0.255,0.001396
0.260,0.002253
0.265,0.003504
0.270,0.005258
0.275,0.007618
0.280,0.010665
0.285,0.014445
0.290,0.018947
0.295,0.024104
0.300,0.029790
0.305,0.035834
0.310,0.042047
0.315,0.048248
0.320,0.054293
0.325,0.060104
0.330,0.065673
0.335,0.071070
0.340,0.076429
0.345,0.081926
0.350,0.087755
0.355,0.094106
0.360,0.101142
0.365,0.108983
0.370,0.117699
0.375,0.127305
0.380,0.137765
0.385,0.148994
0.390,0.160873
0.395,0.173254
0.400,0.185973
0.405,0.198865
0.410,0.211769
0.415,0.224543
0.420,0.237070
0.425,0.249264
0.430,0.261074
0.435,0.272484
0.440,0.283514
0.445,0.294212
0.450,0.304653
0.455,0.314930
0.460,0.325149
0.465,0.335426
0.470,0.345874
0.475,0.356606
0.480,0.367725
0.485,0.379425
0.490,0.392336
0.495,0.406486
0.500,0.421949
0.505,0.438776
0.510,0.456988
0.515,0.476572
0.520,0.497485
0.525,0.519650
0.530,0.542957
0.535,0.567268
0.540,0.592417
0.545,0.618217
0.550,0.644463
0.555,0.670937
0.560,0.697408
0.565,0.723644
0.570,0.749412
0.575,0.774484
0.580,0.798647
0.585,0.821702
0.590,0.843477
0.595,0.863829
0.600,0.882646
0.605,0.899854
0.610,0.915415
0.615,0.929324
0.620,0.941610
0.625,0.952332
0.630,0.961570
0.635,0.969426
0.640,0.976015
0.645,0.981459
0.650,0.985890
0.655,0.989437
0.660,0.992228
0.665,0.994384
0.670,0.996018
0.675,0.997232
0.680,0.998114
0.685,0.998742
0.690,0.999179
0.695,0.999476
0.700,0.999673
0.705,0.999801
0.710,0.999881
0.715,0.999931
0.720,0.999961
0.725,0.999978
0.730,0.999988
0.735,0.999994
0.740,0.999997
0.745,0.999998
0.750,0.999999
