METRIC,composite,P2020,P2016,S2018,S2016,G2018,AG2018,MEAN,SEM,RSE,Δ,Δ/MEAN,Δ/SEM
Vf,0.483650,0.483050,0.493654,0.499213,0.460077,0.497928,0.469357,0.483880,0.006598,0.013636,-0.000230,-0.000475,-0.034859
Sf,0.376140,0.361385,0.413755,0.426259,0.324616,0.415899,0.351848,0.382294,0.017071,0.044654,-0.006154,-0.016098,-0.360494
EG,0.091160,0.104715,0.073553,0.072167,0.095538,0.079957,0.086866,0.085466,0.005238,0.061288,0.005694,0.066623,1.087056
PR,0.107510,0.121665,0.079899,0.072954,0.135461,0.082029,0.117509,0.101586,0.010765,0.105969,0.005924,0.058315,0.550302
GAMMA,0.085600,0.091745,0.074585,0.071419,0.097656,0.078018,0.095566,0.084832,0.004686,0.055239,0.000768,0.009053,0.163892
BS_50,0.078051,0.081694,0.072954,0.071225,0.071572,0.077656,0.080148,0.075875,0.001862,0.024540,0.002176,0.028679,1.168636
BV_50,0.020567,0.018488,0.025090,0.019276,0.018067,0.021059,0.022060,0.020673,0.001082,0.052339,-0.000106,-0.005127,-0.097967
BS_V,0.070758,0.072905,0.071834,0.071071,0.034661,0.077293,0.054905,0.063778,0.006610,0.103641,0.006980,0.109442,1.055976
GS,0.029444,0.028698,0.027814,0.026361,0.029380,0.028438,0.033638,0.029055,0.001007,0.034658,0.000389,0.013388,0.386296
MM,0.032267,0.022589,0.040687,0.028027,0.032855,0.027623,0.031782,0.030594,0.002503,0.081813,0.001673,0.054684,0.668398
LO,0.031251,0.027866,0.040841,0.042019,0.005007,0.043998,0.022776,0.030418,0.006160,0.202512,0.000833,0.027385,0.135227
DECL,16.397660,16.433151,15.207125,14.029992,16.568390,15.341106,17.730123,15.884981,0.528153,0.033249,0.512679,0.032274,0.970702
R,7.575540,8.177880,13.590481,93.699043,4.393068,40.589404,4.834785,27.547443,14.338867,0.520515,-19.971903,-0.725000,-1.392851
r,2.340089,2.765225,1.837353,2.950933,1.946969,2.936061,1.716111,2.358775,0.238299,0.101027,-0.018686,-0.007922,-0.078414
Sb,0.376140,0.361385,0.413755,0.426259,0.324616,0.415899,0.351848,0.382294,0.017071,0.044654,-0.006154,-0.016098,-0.360494
Ra,0.688070,0.680692,0.706877,0.713129,0.662308,0.707949,0.675924,0.691146,0.008536,0.012351,-0.003076,-0.004451,-0.360356
Rb,0.188070,0.180692,0.206877,0.213129,0.162308,0.207949,0.175924,0.191146,0.008536,0.044657,-0.003076,-0.016092,-0.360356
Va,0.583387,0.574986,0.588171,0.570773,0.601768,0.573477,0.599442,0.584769,0.005583,0.009547,-0.001382,-0.002363,-0.247537
Vb,0.385362,0.397148,0.370988,0.387208,0.393224,0.382525,0.377781,0.384812,0.003977,0.010335,0.000550,0.001429,0.138295
L_Vf,0.460000,0.460000,0.470000,0.475000,0.440000,0.475000,0.445000,0.460833,0.006247,0.013556,-0.000833,-0.001808,-0.133344
L_Sf,0.325149,0.306392,0.373891,0.361268,0.283501,0.356834,0.308428,0.331719,0.015046,0.045358,-0.006570,-0.019806,-0.436661
U_Vf,0.505000,0.505000,0.515000,0.520000,0.485000,0.520000,0.490000,0.505833,0.006247,0.012350,-0.000833,-0.001647,-0.133344
U_Sf,0.438776,0.438452,0.466421,0.502950,0.381612,0.495497,0.392896,0.446305,0.020923,0.046880,-0.007529,-0.016870,-0.359843
