CD,P2020
1,0.335617
2,0.444459
3,0.428797
4,0.466081
5,0.420084
6,0.380566
7,0.471974
8,0.410811
9,0.588012
10,0.660744
11,0.445176
12,0.354973
13,0.465819
14,0.597021
15,0.484142
16,0.455103
17,0.419625
18,0.384775
19,0.394116
20,0.763421
21,0.452478
22,0.588620
23,0.566332
24,0.746650
25,0.600163
26,0.407862
27,0.498392
28,0.468084
