METRIC,composite
Vf,0.483650
Sf,0.376140
EG,0.091160
PR,0.107510
GAMMA,0.085600
BS_50,0.078051
BV_50,0.020567
BS_V,0.070758
GS,0.029444
MM,0.032267
LO,0.031251
DECL,16.397660
R,7.575540
r,2.340089
Sb,0.376140
Ra,0.688070
Rb,0.188070
Va,0.583387
Vb,0.385362
L_Vf,0.460000
L_Sf,0.325149
U_Vf,0.505000
U_Sf,0.438776
