METRIC,AG2018
Vf,0.469357
Sf,0.351848
EG,0.086866
PR,0.117509
GAMMA,0.095566
BS_50,0.080148
BV_50,0.022060
BS_V,0.054905
GS,0.033638
MM,0.031782
LO,0.022776
DECL,17.730123
R,4.834785
r,1.716111
Sb,0.351848
Ra,0.675924
Rb,0.175924
Va,0.599442
Vb,0.377781
L_Vf,0.445000
L_Sf,0.308428
U_Vf,0.490000
U_Sf,0.392896
