CD,G2018
1,0.321933
2,0.461787
3,0.440918
4,0.475427
5,0.410636
6,0.393160
7,0.476707
8,0.408559
9,0.617975
10,0.674815
11,0.431020
12,0.374669
13,0.478947
14,0.618380
15,0.495462
16,0.450589
17,0.426260
18,0.390885
19,0.371957
20,0.804171
21,0.465182
22,0.612992
23,0.582710
24,0.820454
25,0.640997
26,0.450670
27,0.537787
28,0.531266
