CD,S2018
1,0.323245
2,0.472377
3,0.455601
4,0.463825
5,0.401111
6,0.395760
7,0.479273
8,0.422397
9,0.597956
10,0.664988
11,0.427355
12,0.385987
13,0.492356
14,0.613406
15,0.493718
16,0.449061
17,0.434725
18,0.395361
19,0.378891
20,0.799986
21,0.469995
22,0.610275
23,0.590715
24,0.813687
25,0.649148
26,0.448547
27,0.544974
28,0.534525
