Vf,composite,P2020,P2016,S2018,S2016,G2018,AG2018
0.655,0.989437,0.993824,0.982589,0.988190,0.987099,0.987443,0.989744
0.660,0.992228,0.995643,0.986753,0.991231,0.990302,0.990694,0.992557
0.665,0.994384,0.996985,0.990092,0.993604,0.992846,0.993228,0.994699
0.670,0.996018,0.997954,0.992722,0.995422,0.994826,0.995165,0.996298
0.675,0.997232,0.998640,0.994756,0.996787,0.996334,0.996616,0.997466
0.680,0.998114,0.999114,0.996297,0.997790,0.997457,0.997679,0.998301
0.685,0.998742,0.999435,0.997440,0.998512,0.998274,0.998442,0.998884
0.690,0.999179,0.999647,0.998268,0.999020,0.998855,0.998976,0.999283
0.695,0.999476,0.999784,0.998855,0.999368,0.999258,0.999342,0.999550
0.700,0.999673,0.999871,0.999261,0.999602,0.999530,0.999587,0.999723
0.705,0.999801,0.999925,0.999534,0.999755,0.999710,0.999747,0.999834
0.710,0.999881,0.999957,0.999713,0.999853,0.999825,0.999848,0.999903
0.715,0.999931,0.999976,0.999828,0.999914,0.999897,0.999911,0.999944
0.720,0.999961,0.999987,0.999899,0.999951,0.999941,0.999950,0.999969
0.725,0.999978,0.999993,0.999943,0.999973,0.999967,0.999972,0.999983
0.730,0.999988,0.999996,0.999968,0.999985,0.999982,0.999985,0.999991
0.735,0.999994,0.999998,0.999983,0.999992,0.999990,0.999992,0.999995
0.740,0.999997,0.999999,0.999991,0.999996,0.999995,0.999996,0.999998
0.745,0.999998,1.000000,0.999995,0.999998,0.999998,0.999998,0.999999
0.750,0.999999,1.000000,0.999998,0.999999,0.999999,0.999999,0.999999
