Vf,S2016
0.250,0.001657
0.255,0.002673
0.260,0.004147
0.265,0.006197
0.270,0.008924
0.275,0.012399
0.280,0.016636
0.285,0.021586
0.290,0.027127
0.295,0.033076
0.300,0.039211
0.305,0.045301
0.310,0.051144
0.315,0.056600
0.320,0.061608
0.325,0.066197
0.330,0.070481
0.335,0.074639
0.340,0.078892
0.345,0.083475
0.350,0.088614
0.355,0.094506
0.360,0.101302
0.365,0.109098
0.370,0.117931
0.375,0.127777
0.380,0.138559
0.385,0.150148
0.390,0.162380
0.395,0.175065
0.400,0.188003
0.405,0.201000
0.410,0.213879
0.415,0.226496
0.420,0.238745
0.425,0.250565
0.430,0.261940
0.435,0.272898
0.440,0.283501
0.445,0.293844
0.450,0.304037
0.455,0.314201
0.460,0.324456
0.465,0.334191
0.470,0.344677
0.475,0.356018
0.480,0.368302
0.485,0.381612
0.490,0.396025
0.495,0.411612
0.500,0.428428
0.505,0.446517
0.510,0.465897
0.515,0.486561
0.520,0.508470
0.525,0.531550
0.530,0.555685
0.535,0.580722
0.540,0.606468
0.545,0.632698
0.550,0.659162
0.555,0.685594
0.560,0.711726
0.565,0.737298
0.570,0.762072
0.575,0.785839
0.580,0.808430
0.585,0.829716
0.590,0.849609
0.595,0.868060
0.600,0.885054
0.605,0.900602
0.610,0.914734
0.615,0.927492
0.620,0.938929
0.625,0.949098
0.630,0.958060
0.635,0.965876
0.640,0.972613
0.645,0.978342
0.650,0.983142
0.655,0.987099
0.660,0.990302
0.665,0.992846
0.670,0.994826
0.675,0.996334
0.680,0.997457
0.685,0.998274
0.690,0.998855
0.695,0.999258
0.700,0.999530
0.705,0.999710
0.710,0.999825
0.715,0.999897
0.720,0.999941
0.725,0.999967
0.730,0.999982
0.735,0.999990
0.740,0.999995
0.745,0.999998
0.750,0.999999
