CD,P2016
1,0.299506
2,0.437874
3,0.423294
4,0.445646
5,0.384682
6,0.378488
7,0.459375
8,0.391808
9,0.637445
10,0.669592
11,0.422202
12,0.351944
13,0.458888
14,0.613936
15,0.479903
16,0.434116
17,0.414224
18,0.389155
19,0.380262
20,0.792356
21,0.447046
22,0.603623
23,0.573003
24,0.824289
25,0.646545
26,0.518341
27,0.589335
28,0.580430
