METRIC,G2018
Vf,0.497928
Sf,0.415899
EG,0.079957
PR,0.082029
GAMMA,0.078018
BS_50,0.077656
BV_50,0.021059
BS_V,0.077293
GS,0.028438
MM,0.027623
LO,0.043998
DECL,15.341106
R,40.589404
r,2.936061
Sb,0.415899
Ra,0.707949
Rb,0.207949
Va,0.573477
Vb,0.382525
L_Vf,0.475000
L_Sf,0.356834
U_Vf,0.520000
U_Sf,0.495497
