Vf,G2018
0.250,0.000784
0.255,0.001315
0.260,0.002126
0.265,0.003314
0.270,0.004987
0.275,0.007245
0.280,0.010175
0.285,0.013824
0.290,0.018196
0.295,0.023231
0.300,0.028818
0.305,0.034796
0.310,0.040986
0.315,0.047208
0.320,0.053318
0.325,0.059227
0.330,0.064917
0.335,0.070443
0.340,0.075922
0.345,0.081516
0.350,0.087410
0.355,0.093787
0.360,0.100806
0.365,0.108587
0.370,0.117203
0.375,0.126672
0.380,0.136962
0.385,0.147996
0.390,0.159659
0.395,0.171809
0.400,0.184288
0.405,0.196938
0.410,0.209605
0.415,0.222157
0.420,0.234488
0.425,0.246525
0.430,0.258231
0.435,0.269604
0.440,0.280677
0.445,0.291510
0.450,0.302187
0.455,0.312806
0.460,0.323474
0.465,0.334299
0.470,0.345387
0.475,0.356834
0.480,0.368723
0.485,0.381125
0.490,0.394093
0.495,0.407664
0.500,0.422344
0.505,0.438775
0.510,0.456456
0.515,0.475376
0.520,0.495497
0.525,0.516759
0.530,0.539071
0.535,0.562323
0.540,0.586381
0.545,0.611091
0.550,0.636285
0.555,0.661778
0.560,0.687376
0.565,0.712878
0.570,0.738075
0.575,0.762761
0.580,0.786735
0.585,0.809803
0.590,0.831790
0.595,0.852538
0.600,0.871918
0.605,0.889827
0.610,0.906197
0.615,0.920989
0.620,0.934200
0.625,0.945853
0.630,0.956002
0.635,0.964724
0.640,0.972113
0.645,0.978280
0.650,0.983348
0.655,0.987443
0.660,0.990694
0.665,0.993228
0.670,0.995165
0.675,0.996616
0.680,0.997679
0.685,0.998442
0.690,0.998976
0.695,0.999342
0.700,0.999587
0.705,0.999747
0.710,0.999848
0.715,0.999911
0.720,0.999950
0.725,0.999972
0.730,0.999985
0.735,0.999992
0.740,0.999996
0.745,0.999998
0.750,0.999999
