METRIC,S2018
Vf,0.499213
Sf,0.426259
EG,0.072167
PR,0.072954
GAMMA,0.071419
BS_50,0.071225
BV_50,0.019276
BS_V,0.071071
GS,0.026361
MM,0.028027
LO,0.042019
DECL,14.029992
R,93.699043
r,2.950933
Sb,0.426259
Ra,0.713129
Rb,0.213129
Va,0.570773
Vb,0.387208
L_Vf,0.475000
L_Sf,0.361268
U_Vf,0.520000
U_Sf,0.502950
