METRIC,P2020
Vf,0.483050
Sf,0.361385
EG,0.104715
PR,0.121665
GAMMA,0.091745
BS_50,0.081694
BV_50,0.018488
BS_V,0.072905
GS,0.028698
MM,0.022589
LO,0.027866
DECL,16.433151
R,8.177880
r,2.765225
Sb,0.361385
Ra,0.680692
Rb,0.180692
Va,0.574986
Vb,0.397148
L_Vf,0.460000
L_Sf,0.306392
U_Vf,0.505000
U_Sf,0.438452
