METRIC,composite,METRIC,P2020,METRIC,P2016,METRIC,S2018,METRIC,S2016,METRIC,G2018,METRIC,AG2018
Vf,0.483650,Vf,0.483050,Vf,0.493654,Vf,0.499213,Vf,0.460077,Vf,0.497928,Vf,0.469357
Sf,0.376140,Sf,0.361385,Sf,0.413755,Sf,0.426259,Sf,0.324616,Sf,0.415899,Sf,0.351848
EG,0.091160,EG,0.104715,EG,0.073553,EG,0.072167,EG,0.095538,EG,0.079957,EG,0.086866
PR,0.107510,PR,0.121665,PR,0.079899,PR,0.072954,PR,0.135461,PR,0.082029,PR,0.117509
GAMMA,0.085600,GAMMA,0.091745,GAMMA,0.074585,GAMMA,0.071419,GAMMA,0.097656,GAMMA,0.078018,GAMMA,0.095566
BS_50,0.078051,BS_50,0.081694,BS_50,0.072954,BS_50,0.071225,BS_50,0.071572,BS_50,0.077656,BS_50,0.080148
BV_50,0.020567,BV_50,0.018488,BV_50,0.025090,BV_50,0.019276,BV_50,0.018067,BV_50,0.021059,BV_50,0.022060
BS_V,0.070758,BS_V,0.072905,BS_V,0.071834,BS_V,0.071071,BS_V,0.034661,BS_V,0.077293,BS_V,0.054905
GS,0.029444,GS,0.028698,GS,0.027814,GS,0.026361,GS,0.029380,GS,0.028438,GS,0.033638
MM,0.032267,MM,0.022589,MM,0.040687,MM,0.028027,MM,0.032855,MM,0.027623,MM,0.031782
LO,0.031251,LO,0.027866,LO,0.040841,LO,0.042019,LO,0.005007,LO,0.043998,LO,0.022776
DECL,16.397660,DECL,16.433151,DECL,15.207125,DECL,14.029992,DECL,16.568390,DECL,15.341106,DECL,17.730123
R,7.575540,R,8.177880,R,13.590481,R,93.699043,R,4.393068,R,40.589404,R,4.834785
r,2.340089,r,2.765225,r,1.837353,r,2.950933,r,1.946969,r,2.936061,r,1.716111
Sb,0.376140,Sb,0.361385,Sb,0.413755,Sb,0.426259,Sb,0.324616,Sb,0.415899,Sb,0.351848
Ra,0.688070,Ra,0.680692,Ra,0.706877,Ra,0.713129,Ra,0.662308,Ra,0.707949,Ra,0.675924
Rb,0.188070,Rb,0.180692,Rb,0.206877,Rb,0.213129,Rb,0.162308,Rb,0.207949,Rb,0.175924
Va,0.583387,Va,0.574986,Va,0.588171,Va,0.570773,Va,0.601768,Va,0.573477,Va,0.599442
Vb,0.385362,Vb,0.397148,Vb,0.370988,Vb,0.387208,Vb,0.393224,Vb,0.382525,Vb,0.377781
L_Vf,0.460000,L_Vf,0.460000,L_Vf,0.470000,L_Vf,0.475000,L_Vf,0.440000,L_Vf,0.475000,L_Vf,0.445000
L_Sf,0.325149,L_Sf,0.306392,L_Sf,0.373891,L_Sf,0.361268,L_Sf,0.283501,L_Sf,0.356834,L_Sf,0.308428
U_Vf,0.505000,U_Vf,0.505000,U_Vf,0.515000,U_Vf,0.520000,U_Vf,0.485000,U_Vf,0.520000,U_Vf,0.490000
U_Sf,0.438776,U_Sf,0.438452,U_Sf,0.466421,U_Sf,0.502950,U_Sf,0.381612,U_Sf,0.495497,U_Sf,0.392896
